8.12384	Ped
8.43249	*
8.62188	Ped
8.86039	*
9.07083	Ped
9.77756	*
10.0003	Ped
10.3493	*
10.5667	Ped
11.3331	*
11.533	Ped
12.6133	*
12.8955	Ped
13.7019	*
13.9122	Ped
14.6502	*
14.8886	Ped
15.5898	*
15.83	Ped
19.2289	*
19.49	Ped
22.3164	*
22.7896	Ped
23.154	*
23.4029	Ped
27.0136	*
27.2869	Ped
27.6389	*
27.8561	Ped
28.0838	*
28.3536	Ped
29.3572	*
29.8354	Ped
31.9529	*
32.2523	Ped
33.9752	*
34.2256	Ped
37.7833	*
38.3732	Ped
43.489	*
43.7497	Ped
49.3902	*
49.5984	Ped
54.9553	*
55.1651	Ped
59.4626	*
59.702	Ped
70.4773	*
70.7864	Ped
83.5072	*
83.7533	Ped
87.0991	*
87.3364	Ped
120.757	*
147.628	Ped
148.339	*
149.738	Ped
150.157	*
151.968	Ped
152.498	*
153.299	Ped
154.173	*
156.962	Ped
157.789	*
158.046	Ped
158.572	*
158.783	Ped
159.08	*
161.091	Ped
161.713	*
163.283	Ped
163.774	*
164.583	Ped
165.377	*
168.032	Ped
169.051	*
169.733	Ped
170.051	*
170.297	Ped
170.504	*
170.729	Ped
171.068	*
171.26	Ped
171.559	*
171.746	Ped
173.194	*
174.881	Ped
175.292	*
182.008	Ped
183.237	*
183.506	Ped
183.926	*
184.134	Ped
185.353	*
185.631	Ped
186.473	*
186.825	Ped
188.322	*
189.749	Ped
190.054	*
190.322	Ped
191.077	*
191.791	Ped
193.105	*
199.059	Ped
199.357	*
209.881	Ped
210.362	*
210.62	Ped
211.695	*
212.038	Ped
213.009	*
213.335	Ped
214.339	*
214.642	Ped
215.545	*
215.81	Ped
218.71	*
218.96	Ped
219.877	*
220.192	Ped
221.074	*
221.394	Ped
222.755	*
223.074	Ped
223.333	*
223.615	Ped
225.176	*
236.078	Ped
237.87	*
238.648	Ped
239.933	*
